venta_id,fecha_venta,tienda,categoria,producto,cantidad,precio_unitario,monto_total,metodo_pago
V000606,2025-04-06,Lima Centro,electronica,Cargador USB-C,1,32.60,32.60,Transferencia
V001595,2025-05-06,Miraflores,Hogar,Olla antiadherente,1,325.72,325.72,Tarjeta
V000736,2025-04-12,Trujillo,ropa ,Jean clasico,5,453.69,2268.45,
V000864,2025-04-18,Miraflores,electronica,Cargador USB-C,1,252.49,252.49,Tarjeta
V000154,2025-05-16,Lima Centro,ALIMENTOS,Miel de abeja,5,422.92,2114.60,Tarjeta
V000013,2025-06-08,Miraflores,Hogar,Lampara LED,2,35.34,70.68,Efectivo
V000038,2025-04-19,Lima Centro,Ropa,Polo algodon,2,251.29,502.58,Tarjeta
V000009,2025-05-20,Trujillo,Juguetes,Set de bloques,1,364.73,364.73,Plin
V001890,2025-04-05,Trujillo,electronica,Teclado mecanico,5,92.34,461.70,Plin
V001255,2025-06-16,Trujillo,Ropa,Zapatillas urbanas,1,428.97,428.97,Yape
V001552,2025-06-04,Miraflores,hogar,Lampara LED,1,57.67,57.67,Efectivo
V000124,2025-05-28,Miraflores,ropa ,Casaca impermeable,1,348.40,348.40,Plin
V000911,2025-06-23,Cusco,,Miel de abeja,4,77.93,311.72,Yape
V001132,2025-04-13,Cusco,HOGAR ,Organizador,1,95.12,95.12,Yape
V000394,2025-05-14,Trujillo,HOGAR ,Organizador,5,427.91,2139.55,Tarjeta
V001147,2025-06-02,Lima Centro,Juguetes,Rompecabezas 1000,4,27.73,110.92,Efectivo
V000917,2025-04-04,Miraflores,Alimentos,Cafe molido 500g,1,296.82,296.82,Yape
V000939,2025-05-08,Arequipa,ALIMENTOS,Miel de abeja,0,70.24,0.00,Tarjeta
V001711,2025-05-27,Cusco,juguetes,Rompecabezas 1000,5,134.55,672.75,Yape
V000668,2025-06-26,Miraflores,Ropa,Zapatillas urbanas,3,15.49,46.47,Efectivo
V001246,2025-06-28,Arequipa, alimentos,Chocolate 70%,2,290.14,580.28,Tarjeta
V000520,2025-05-30,Miraflores,Hogar,Organizador,1,271.24,271.24,Transferencia
V001277,2025-04-06,Arequipa,HOGAR ,Organizador,2,75.95,151.90,Plin
V001686,2025-04-21,Miraflores,Electronica,Monitor 24,3,264.17,792.51,Transferencia
V000855,2025-05-21,Lima Centro,HOGAR ,Lampara LED,3,88.43,265.29,Tarjeta
V000645,2025-04-08,Arequipa,ROPA,Polo algodon,1,428.23,428.23,Transferencia
V001340,2025-04-21,Miraflores,Hogar,Organizador,1,20.70,20.70,Tarjeta
V001487,2025-06-14,Trujillo,HOGAR ,Juego de sabanas,1,119.02,119.02,Transferencia
V000227,2025-05-06,Miraflores,Alimentos,Miel de abeja,5,204.18,1020.90,Tarjeta
V001419,2025-05-20,Trujillo, alimentos,Aceite de oliva,2,182.02,364.04,Yape
V001926,2025-04-11,Cusco,ALIMENTOS,Chocolate 70%,1,406.59,406.59,Plin
V001796,2025-05-05,Trujillo, alimentos,Miel de abeja,1,218.74,218.74,Transferencia
V000464,2025-06-04,Cusco,electronica,Mouse inalambrico,3,272.52,-68.34,Efectivo
V001140,2025-06-29,Lima Centro,ALIMENTOS,Cafe molido 500g,5,57.24,286.20,Yape
V000127,2025-04-29,Trujillo,Juguetes,Rompecabezas 1000,2,47.59,95.18,Efectivo
V000936,2025-05-15,Lima Centro, alimentos,Miel de abeja,1,113.94,113.94,Yape
V000401,2025-04-18,Arequipa,,Rompecabezas 1000,1,216.56,216.56,Transferencia
V001978,2025-04-12,Cusco,Alimentos,Miel de abeja,1,184.65,184.65,Plin
V001016,2025-05-26,Lima Centro,ROPA,Zapatillas urbanas,1,318.86,318.86,Tarjeta
V000060,2025-06-02,Lima Centro,Hogar,Olla antiadherente,2,14.68,29.36,Tarjeta
V000584,2025-06-13,Trujillo,Alimentos,Miel de abeja,2,302.98,605.96,Transferencia
V000455,2025-04-01,Cusco,Alimentos,Chocolate 70%,2,352.64,705.28,Tarjeta
V000138,2025-05-27,Arequipa,juguetes,Rompecabezas 1000,2,159.61,319.22,Plin
V000929,2025-05-23,Cusco,ELECTRONICA,Cargador USB-C,3,174.04,522.12,
V000801,2025-05-20,Trujillo,Ropa,Zapatillas urbanas,5,331.18,1655.90,Transferencia
V001863,2025-04-29,Arequipa,hogar,Juego de sabanas,1,80.67,80.67,Efectivo
V000391,2025-06-12,Lima Centro,electronica,Teclado mecanico,4,243.81,975.24,Yape
V000001,2025-04-28,Miraflores,Electronica,Audifonos BT,2,123.59,247.18,Efectivo
V000945,2025-04-19,Lima Centro, alimentos,Cafe molido 500g,1,119.85,119.85,Plin
V001436,2025-05-11,Lima Centro,Hogar,Lampara LED,2,284.75,569.50,Efectivo
V000821,2025-06-10,Trujillo,Hogar,Organizador,1,442.67,442.67,Tarjeta
V000461,2025-06-01,Cusco,HOGAR ,Organizador,2,336.43,672.86,Transferencia
V001588,2025-04-22,Lima Centro,ELECTRONICA,Mouse inalambrico,1,114.51,-64.82,Transferencia
V001532,2025-05-28,Miraflores, alimentos,Aceite de oliva,1,152.47,152.47,Plin
V000875,2025-06-19,Lima Centro, Electronica ,Cargador USB-C,3,241.08,723.24,Efectivo
V000477,2025-04-29,Miraflores,Electronica,Monitor 24,1,51.86,51.86,Plin
V000364,2025-04-18,Cusco,Alimentos,Miel de abeja,2,286.85,573.70,Transferencia
V000168,2025-06-22,Lima Centro, Electronica ,Cargador USB-C,1,200.06,200.06,Yape
V000383,2025-05-16,Miraflores,juguetes,Rompecabezas 1000,2,125.18,250.36,Tarjeta
V000714,2025-04-09,Lima Centro,Alimentos,Chocolate 70%,4,411.92,-43.26,Plin
V000386,2025-04-29,Cusco,ALIMENTOS,Chocolate 70%,3,240.38,721.14,Transferencia
V001321,2025-05-01,Lima Centro,ropa ,Casaca impermeable,4,10.50,42.00,Tarjeta
V000146,2025-06-10,Cusco,Juguetes,Set de bloques,4,396.62,1586.48,Transferencia
V000516,2025-05-24,Miraflores,Juguetes,Rompecabezas 1000,3,402.79,1208.37,Efectivo
V001389,2025-06-28,Cusco,ROPA,Casaca impermeable,1,402.58,402.58,Efectivo
V000504,2025-04-09,Trujillo,Hogar,Olla antiadherente,1,138.88,138.88,Yape
V000409,2025-05-10,Arequipa, alimentos,Aceite de oliva,1,102.01,102.01,Plin
V000691,2025-06-28,Arequipa,Juguetes,Peluche mediano,4,422.60,1690.40,Tarjeta
V001057,2025-05-29,Miraflores,ELECTRONICA,Audifonos BT,5,275.48,1377.40,Tarjeta
V000541,2025-04-06,Arequipa,ropa ,Casaca impermeable,2,94.04,188.08,Tarjeta
V001999,2025-05-30,Cusco, alimentos,Cafe molido 500g,4,337.23,1348.92,Yape
V001845,2025-05-03,Lima Centro,juguetes,Rompecabezas 1000,5,102.41,512.05,Plin
V000083,2025-06-25,Lima Centro,Ropa,Polo algodon,4,300.50,1202.00,Yape
V001225,2025-06-15,Lima Centro, alimentos,Cafe molido 500g,2,169.98,339.96,Plin
V000180,2025-05-19,Trujillo,HOGAR ,Organizador,1,370.95,370.95,Yape
V001996,2025-04-25,Cusco,hogar,Olla antiadherente,2,15.69,31.38,Tarjeta
V001826,2025-04-22,Arequipa,ROPA,Jean clasico,1,326.00,326.00,Transferencia
V000997,2025-04-02,Miraflores,Hogar,Organizador,2,299.21,598.42,Tarjeta
V001291,2025-05-01,Arequipa,hogar,Olla antiadherente,5,390.45,1952.25,Plin
V000744,2025-04-18,Lima Centro,Alimentos,Miel de abeja,1,468.34,468.34,Plin
V001872,2025-04-13,Arequipa,Hogar,Juego de sabanas,2,86.45,172.90,
V001836,2025-06-21,Lima Centro,Electronica,Teclado mecanico,2,287.55,575.10,Yape
V000242,2025-05-11,Miraflores, alimentos,Miel de abeja,2,48.92,97.84,Yape
V001262,2025-05-03,Trujillo,HOGAR ,Juego de sabanas,2,50.47,100.94,Yape
V001260,2025-05-15,Miraflores,ALIMENTOS,Cafe molido 500g,4,277.82,-136.52,Efectivo
V000949,2025-05-13,Miraflores,ELECTRONICA,Cargador USB-C,5,319.14,1595.70,Yape
V000070,2025-05-22,Cusco,ALIMENTOS,Chocolate 70%,4,165.32,661.28,Plin
V000930,2025-05-11,Arequipa,Juguetes,Rompecabezas 1000,1,420.18,420.18,Tarjeta
V000052,2025-04-14,Trujillo,,Rompecabezas 1000,3,259.46,778.38,Plin
V001679,2025-06-19,Arequipa,ELECTRONICA,Monitor 24,2,335.37,670.74,Transferencia
V001833,2025-04-12,Lima Centro, alimentos,Chocolate 70%,4,344.50,1378.00,Tarjeta
V001056,2025-06-08,Cusco,juguetes,Rompecabezas 1000,2,179.60,359.20,Yape
V001097,2025-05-14,Miraflores, alimentos,Miel de abeja,2,221.91,443.82,Transferencia
V001989,2025-04-17,Trujillo,Juguetes,Peluche mediano,2,71.85,143.70,Yape
V001717,2025-05-10,Cusco,Hogar,Juego de sabanas,2,8.26,16.52,Efectivo
V001452,2025-06-27,Trujillo,hogar,Organizador,1,266.65,266.65,Plin
V000673,2025-04-17,Arequipa,Juguetes,Set de bloques,1,268.44,268.44,Tarjeta
V000952,2025-04-19,Cusco,Juguetes,Peluche mediano,1,293.82,293.82,Plin
V000496,2025-05-01,Trujillo,Ropa,Polo algodon,3,472.48,1417.44,Plin
V000614,2025-05-28,Arequipa,Electronica,Monitor 24,5,222.31,1111.55,Efectivo
V001413,2025-04-05,Cusco,Ropa,Zapatillas urbanas,2,377.74,755.48,Efectivo
V000940,2025-05-04,Miraflores,Juguetes,Set de bloques,1,298.54,298.54,Transferencia
V000228,2025-05-05,Cusco,juguetes,Set de bloques,1,376.51,376.51,Efectivo
V001002,2025-05-17,Cusco,Juguetes,Peluche mediano,1,165.02,165.02,Transferencia
V001531,2025-06-12,Cusco,ROPA,Polo algodon,1,261.29,261.29,Plin
V001004,2025-05-14,Trujillo,Juguetes,Rompecabezas 1000,4,89.64,358.56,Transferencia
V000021,2025-06-04,Cusco,ropa ,Jean clasico,2,465.23,930.46,Efectivo
V000947,2025-04-05,Miraflores,juguetes,Rompecabezas 1000,1,295.47,295.47,Plin
V001092,2025-04-13,Trujillo,HOGAR ,Organizador,5,432.59,2162.95,Transferencia
V000216,2025-05-13,Trujillo,Electronica,Audifonos BT,2,318.39,636.78,Plin
V000589,2025-06-25,Lima Centro,Alimentos,Cafe molido 500g,1,413.72,413.72,Plin
V000987,2025-05-03,Trujillo,Juguetes,Set de bloques,3,274.12,822.36,Yape
V000194,2025-06-02,Trujillo,hogar,Olla antiadherente,2,163.70,327.40,Yape
V001838,2025-05-04,Trujillo, alimentos,Aceite de oliva,1,177.02,-69.04,Yape
V001410,2025-04-21,Lima Centro,Hogar,Juego de sabanas,4,263.17,1052.68,Yape
V000057,2025-06-10,Arequipa,hogar,Olla antiadherente,4,334.52,1338.08,Yape
V001983,2025-05-08,Miraflores,ELECTRONICA,Cargador USB-C,1,126.64,126.64,Tarjeta
V000432,2025-05-26,Arequipa, alimentos,Aceite de oliva,5,194.59,972.95,Tarjeta
V000799,2025-04-16,Trujillo,ropa ,Polo algodon,1,98.49,98.49,Yape
V000043,2025-04-09,Trujillo,Ropa,Jean clasico,3,158.90,476.70,Tarjeta
V000022,2025-06-16,Lima Centro,Ropa,Polo algodon,1,409.83,409.83,Transferencia
V001238,2025-04-17,Cusco, alimentos,Miel de abeja,5,109.07,545.35,Efectivo
V000709,2025-06-07,Arequipa,Juguetes,Peluche mediano,0,138.01,0.00,Transferencia
V001553,2025-04-07,Lima Centro,Electronica,Cargador USB-C,1,67.63,67.63,Efectivo
V001803,2025-06-20,Trujillo,Ropa,Casaca impermeable,5,48.91,244.55,Tarjeta
V001220,2025-04-14,Cusco,Juguetes,Rompecabezas 1000,2,397.25,794.50,Transferencia
V001664,2025-05-06,Trujillo,ALIMENTOS,Cafe molido 500g,1,268.62,268.62,Tarjeta
V000014,2025-05-22,Arequipa,Ropa,Zapatillas urbanas,1,133.11,133.11,Tarjeta
V001541,2025-05-13,Lima Centro, alimentos,Aceite de oliva,1,182.67,182.67,Plin
V001934,2025-06-16,Lima Centro,ELECTRONICA,Cargador USB-C,2,430.54,861.08,Tarjeta
V000699,2025-06-17,Miraflores,electronica,Mouse inalambrico,1,265.72,265.72,Yape
V000335,2025-04-08,Arequipa,ELECTRONICA,Monitor 24,1,33.05,33.05,Yape
V000545,2025-04-12,Arequipa, Electronica ,Monitor 24,1,73.81,73.81,Tarjeta
V000780,2025-06-24,Cusco, Electronica ,Monitor 24,1,298.89,298.89,Yape
V000207,2025-05-16,Cusco,HOGAR ,Lampara LED,1,70.54,70.54,Efectivo
V001505,2025-05-04,Cusco,ALIMENTOS,Chocolate 70%,4,252.01,1008.04,Plin
V001207,2025-04-14,Miraflores, Electronica ,Mouse inalambrico,5,21.60,108.00,Efectivo
V000994,2025-05-21,Trujillo,electronica,Audifonos BT,1,249.52,249.52,Efectivo
V001406,2025-06-27,Cusco,ropa ,Polo algodon,2,131.24,262.48,Plin
V000371,2025-05-19,Miraflores,Electronica,Mouse inalambrico,0,129.68,0.00,Efectivo
V000859,2025-06-24,Lima Centro,Hogar,Olla antiadherente,2,315.99,631.98,Plin
V001259,2025-06-29,Lima Centro,ALIMENTOS,Chocolate 70%,2,345.45,690.90,Transferencia
V000822,2025-05-25,Arequipa,ropa ,Casaca impermeable,2,34.37,68.74,Efectivo
V000437,2025-06-24,Arequipa,Hogar,Olla antiadherente,1,142.05,142.05,Efectivo
V001782,2025-04-12,Miraflores,Juguetes,Set de bloques,1,188.43,188.43,Transferencia
V000152,2025-05-02,Miraflores,hogar,Lampara LED,4,69.72,278.88,Efectivo
V000259,2025-06-08,Arequipa,ELECTRONICA,Teclado mecanico,1,376.13,376.13,Yape
V001402,2025-06-09,Arequipa,Ropa,Zapatillas urbanas,5,265.77,1328.85,Efectivo
V000579,2025-05-11,Trujillo,juguetes,Set de bloques,1,225.55,225.55,Plin
V000188,2025-05-24,Cusco,juguetes,Set de bloques,2,408.89,817.78,Transferencia
V001457,2025-04-20,Lima Centro,Juguetes,Set de bloques,5,47.01,235.05,Efectivo
V000627,2025-04-26,Arequipa,ALIMENTOS,Cafe molido 500g,1,86.40,86.40,Plin
V000519,2025-04-12,Arequipa,HOGAR ,Organizador,4,120.93,483.72,Plin
V001624,2025-05-19,Cusco,ELECTRONICA,Teclado mecanico,4,257.73,1030.92,Tarjeta
V001775,2025-04-14,Miraflores,Electronica,Monitor 24,2,298.44,596.88,Tarjeta
V001607,2025-04-24,Arequipa,ELECTRONICA,Cargador USB-C,4,132.45,529.80,Yape
V000175,2025-06-08,Miraflores,HOGAR ,Olla antiadherente,2,459.87,919.74,Transferencia
V001192,2025-05-30,Cusco,Juguetes,Set de bloques,1,155.95,155.95,Efectivo
V001726,2025-04-18,Arequipa,Alimentos,Chocolate 70%,1,53.50,53.50,Plin
V000322,2025-06-24,Trujillo,Juguetes,Peluche mediano,2,469.57,939.14,Tarjeta
V000303,2025-06-14,Arequipa,ROPA,Jean clasico,1,112.90,112.90,Yape
V001555,2025-06-06,Miraflores,Juguetes,Rompecabezas 1000,3,426.86,1280.58,Transferencia
V001852,2025-04-11,Trujillo,ALIMENTOS,Cafe molido 500g,1,207.33,207.33,Efectivo
V000016,2025-05-02,Trujillo,ELECTRONICA,Audifonos BT,3,41.44,124.32,Transferencia
V001189,2025-05-18,Miraflores,Electronica,Mouse inalambrico,1,167.81,167.81,Transferencia
V000535,2025-06-04,Cusco,Ropa,Jean clasico,3,431.82,1295.46,Yape
V001670,2025-06-22,Arequipa,Alimentos,Aceite de oliva,5,295.77,1478.85,Efectivo
V001426,2025-04-10,Lima Centro,Alimentos,Chocolate 70%,2,113.83,227.66,Transferencia
V000260,2025-05-12,Miraflores,ropa ,Zapatillas urbanas,2,226.70,453.40,Transferencia
V000492,2025-05-08,Arequipa,hogar,Juego de sabanas,0,260.54,0.00,Yape
V001412,2025-06-27,Arequipa,ropa ,Polo algodon,1,162.53,162.53,Transferencia
V001492,2025-06-25,Trujillo,Juguetes,Set de bloques,1,291.15,291.15,Plin
V001250,2025-05-11,Lima Centro,hogar,Organizador,2,133.41,266.82,Plin
V000184,2025-04-30,Cusco,Ropa,Polo algodon,1,288.34,288.34,Efectivo
V001805,2025-04-29,Arequipa,Hogar,Lampara LED,4,350.39,1401.56,Plin
V001313,2025-05-25,Arequipa, alimentos,Miel de abeja,3,64.52,193.56,Yape
V000270,2025-04-12,Lima Centro,juguetes,Peluche mediano,1,273.79,273.79,Tarjeta
V000267,2025-05-06,Lima Centro,,Miel de abeja,3,438.78,1316.34,Transferencia
V001383,2025-05-22,Cusco, Electronica ,Mouse inalambrico,2,278.97,557.94,Transferencia
V001239,2025-05-17,Miraflores,Ropa,Polo algodon,5,250.32,1251.60,Plin
V000361,2025-04-29,Cusco,Hogar,Olla antiadherente,4,316.53,1266.12,Plin
V000962,2025-05-29,Arequipa,ropa ,Polo algodon,5,400.94,2004.70,Plin
V000819,2025-06-03,Cusco,ALIMENTOS,Miel de abeja,3,73.24,219.72,Plin
V000608,2025-06-03,Arequipa,hogar,Organizador,1,50.31,50.31,Efectivo
V001240,2025-06-17,Miraflores,,Organizador,1,363.12,363.12,Yape
V001613,2025-05-28,Miraflores,juguetes,Rompecabezas 1000,3,95.49,286.47,Plin
V001159,2025-04-18,Cusco,ALIMENTOS,Miel de abeja,4,225.39,901.56,Yape
V001186,2025-04-21,Arequipa,ROPA,Casaca impermeable,0,110.42,0.00,Efectivo
V000879,2025-05-04,Arequipa,juguetes,Peluche mediano,2,280.76,561.52,Plin
V000369,2025-05-25,Miraflores, alimentos,Aceite de oliva,1,431.37,431.37,Efectivo
V000982,2025-06-03,Arequipa, alimentos,Aceite de oliva,1,74.71,74.71,Tarjeta
V001644,2025-05-19,Arequipa,juguetes,Set de bloques,4,174.34,697.36,Transferencia
V000187,2025-05-19,Miraflores,juguetes,Set de bloques,1,466.92,466.92,Plin
V000555,2025-06-16,Miraflores,Hogar,Organizador,3,30.99,92.97,Tarjeta
V000072,2025-04-17,Arequipa,ALIMENTOS,Cafe molido 500g,2,252.70,505.40,Tarjeta
V001200,2025-05-14,Lima Centro, alimentos,Cafe molido 500g,1,74.04,74.04,Yape
V000538,2025-04-30,Cusco,ALIMENTOS,Aceite de oliva,5,171.64,858.20,Efectivo
V001921,2025-04-03,Miraflores,Juguetes,Set de bloques,1,88.94,88.94,Transferencia
V001513,2025-04-04,Trujillo,Juguetes,Rompecabezas 1000,5,377.35,1886.75,Transferencia
V000882,2025-05-06,Trujillo,ropa ,Polo algodon,1,111.27,111.27,Plin
V000255,2025-04-01,Trujillo, alimentos,Aceite de oliva,2,79.07,-167.05,Efectivo
V001365,2025-04-18,Trujillo,ELECTRONICA,Teclado mecanico,1,181.87,181.87,Yape
V001151,2025-05-03,Miraflores,Juguetes,Rompecabezas 1000,2,370.76,741.52,Yape
V000090,2025-04-30,Trujillo,electronica,Monitor 24,1,132.82,132.82,Yape
V001696,2025-04-15,Arequipa,ropa ,Casaca impermeable,1,152.26,152.26,Tarjeta
V000626,2025-04-19,Trujillo,ropa ,Zapatillas urbanas,1,314.68,314.68,Yape
V001109,2025-05-06,Arequipa,juguetes,Set de bloques,2,418.34,836.68,Efectivo
V000177,2025-06-05,Trujillo,Juguetes,Rompecabezas 1000,1,162.87,162.87,Plin
V000537,2025-04-03,Arequipa,Hogar,Juego de sabanas,1,85.77,85.77,Transferencia
V001895,2025-04-01,Cusco, alimentos,Cafe molido 500g,2,332.84,665.68,Efectivo
V000937,2025-05-25,Lima Centro,juguetes,Set de bloques,2,390.44,780.88,Transferencia
V001298,2025-06-18,Cusco,juguetes,Rompecabezas 1000,2,77.76,155.52,Transferencia
V001069,2025-06-01,Cusco,juguetes,Peluche mediano,2,384.41,768.82,Tarjeta
V000724,2025-06-19,Lima Centro,ALIMENTOS,Aceite de oliva,1,117.79,117.79,Plin
V001677,2025-04-12,Lima Centro,Ropa,Casaca impermeable,5,125.58,627.90,Efectivo
V001183,2025-05-11,Cusco, Electronica ,Cargador USB-C,2,351.21,702.42,Yape
V000815,2025-05-25,Cusco,Electronica,Mouse inalambrico,3,44.01,132.03,Transferencia
V001982,2025-05-01,Miraflores, alimentos,Miel de abeja,2,301.56,603.12,Tarjeta
V001748,2025-04-16,Lima Centro,hogar,Juego de sabanas,0,461.68,0.00,
V000701,2025-05-30,Arequipa,Juguetes,Rompecabezas 1000,4,115.42,461.68,Transferencia
V000978,2025-05-29,Miraflores,ROPA,Polo algodon,4,99.70,398.80,Efectivo
V000085,2025-06-24,Trujillo,ROPA,Zapatillas urbanas,5,58.34,291.70,Yape
V001393,2025-05-21,Trujillo,,Lampara LED,1,411.39,411.39,Transferencia
V001515,2025-04-24,Lima Centro,,Audifonos BT,4,306.60,1226.40,Plin
V001347,2025-04-10,Miraflores,Electronica,Cargador USB-C,1,262.42,262.42,Transferencia
V000973,2025-04-03,Trujillo,juguetes,Rompecabezas 1000,2,375.95,751.90,
V001401,2025-06-25,Arequipa,Ropa,Casaca impermeable,1,45.10,45.10,Tarjeta
V000639,2025-06-07,Trujillo,HOGAR ,Olla antiadherente,1,133.56,133.56,Tarjeta
V000156,2025-06-10,Arequipa, alimentos,Chocolate 70%,1,197.07,197.07,Plin
V000846,2025-06-03,Arequipa,,Cargador USB-C,1,160.80,160.80,Plin
V001491,2025-06-05,Trujillo,Electronica,Teclado mecanico,2,187.48,374.96,Efectivo
V001735,2025-05-27,Arequipa,juguetes,Set de bloques,2,12.55,25.10,Yape
V001156,2025-06-21,Trujillo,Alimentos,Miel de abeja,2,331.61,663.22,Transferencia
V001956,2025-04-11,Lima Centro,ropa ,Polo algodon,1,290.96,290.96,Yape
V001617,2025-04-11,Arequipa,electronica,Audifonos BT,1,260.12,260.12,Tarjeta
V000309,2025-05-14,Trujillo,juguetes,Peluche mediano,2,86.83,173.66,Transferencia
V001035,2025-05-03,Trujillo, Electronica ,Mouse inalambrico,3,158.87,476.61,Tarjeta
V000921,2025-06-12,Lima Centro,Alimentos,Chocolate 70%,3,299.92,899.76,Plin
V000694,2025-06-14,Trujillo,hogar,Organizador,5,92.49,462.45,Plin
V000245,2025-04-10,Lima Centro, Electronica ,Cargador USB-C,1,473.81,473.81,Tarjeta
V001668,2025-04-29,Miraflores,Ropa,Polo algodon,1,15.67,15.67,Efectivo
V001475,2025-04-26,Lima Centro,ELECTRONICA,Mouse inalambrico,3,465.83,1397.49,Tarjeta
V000959,2025-06-18,Arequipa,Ropa,Casaca impermeable,1,392.20,392.20,Yape
V001474,2025-05-13,Lima Centro,Hogar,Juego de sabanas,5,47.85,239.25,Plin
V000390,2025-04-20,Trujillo,ropa ,Casaca impermeable,2,392.30,784.60,Plin
V001548,2025-04-18,Lima Centro,Juguetes,Peluche mediano,1,187.43,187.43,Transferencia
V000378,2025-05-21,Trujillo,Ropa,Casaca impermeable,1,177.80,177.80,Plin
V001300,2025-04-29,Trujillo, alimentos,Cafe molido 500g,5,399.55,1997.75,Yape
V001089,2025-05-13,Lima Centro,electronica,Monitor 24,2,152.46,304.92,Efectivo
V001202,2025-06-22,Miraflores,Alimentos,Aceite de oliva,1,368.02,368.02,Transferencia
V001991,2025-05-04,Trujillo,ropa ,Polo algodon,1,123.69,123.69,Plin
V000628,2025-06-16,Cusco,juguetes,Set de bloques,1,165.58,165.58,Plin
V001520,2025-06-07,Arequipa,Ropa,Zapatillas urbanas,2,410.49,820.98,Tarjeta
V000140,2025-04-20,Trujillo,electronica,Teclado mecanico,5,24.43,122.15,Transferencia
V000325,2025-04-01,Lima Centro,Alimentos,Miel de abeja,3,64.03,192.09,Efectivo
V001231,2025-04-29,Arequipa,ELECTRONICA,Teclado mecanico,0,237.51,0.00,Efectivo
V000471,2025-06-06,Lima Centro,Hogar,Olla antiadherente,1,396.05,396.05,Efectivo
V001874,2025-06-04,Cusco,ROPA,Jean clasico,5,293.78,1468.90,Tarjeta
V001158,2025-05-16,Miraflores,ELECTRONICA,Monitor 24,2,75.96,151.92,Tarjeta
V001117,2025-04-21,Miraflores,hogar,Organizador,1,365.10,365.10,Plin
V000913,2025-06-24,Arequipa,HOGAR ,Organizador,1,90.36,90.36,Tarjeta
V001503,2025-06-16,Cusco,Juguetes,Set de bloques,4,406.90,1627.60,Tarjeta
V000644,2025-06-06,Arequipa,electronica,Cargador USB-C,3,192.08,576.24,Transferencia
V001144,2025-05-20,Miraflores,Electronica,Audifonos BT,4,105.25,421.00,Yape
V000622,2025-06-30,Arequipa,Juguetes,Rompecabezas 1000,1,61.78,61.78,Efectivo
V000758,2025-04-17,Arequipa,Hogar,Organizador,4,41.90,167.60,Transferencia
V001025,2025-05-29,Trujillo,ELECTRONICA,Teclado mecanico,1,167.12,167.12,Transferencia
V001354,2025-05-19,Arequipa,,Miel de abeja,1,247.37,247.37,Yape
V000573,2025-05-11,Trujillo,ALIMENTOS,Chocolate 70%,3,390.08,-231.55,Efectivo
V001770,2025-05-04,Miraflores,juguetes,Set de bloques,2,94.53,189.06,Tarjeta
V001712,2025-05-16,Cusco,juguetes,Set de bloques,0,18.19,0.00,Plin
V001529,2025-05-25,Lima Centro,ALIMENTOS,Chocolate 70%,1,405.69,405.69,Yape
V000139,2025-06-26,Miraflores,Alimentos,Cafe molido 500g,3,298.21,894.63,Plin
V000209,2025-05-09,Trujillo,Juguetes,Rompecabezas 1000,4,88.00,352.00,Plin
V001615,2025-04-21,Trujillo, alimentos,Cafe molido 500g,2,32.85,65.70,Tarjeta
V000508,2025-05-09,Trujillo,ropa ,Polo algodon,4,458.36,1833.44,Yape
V000089,2025-06-11,Arequipa,Hogar,Lampara LED,1,229.05,229.05,Plin
V000102,2025-06-11,Lima Centro,Hogar,Olla antiadherente,5,39.69,198.45,Yape
V001511,2025-05-26,Trujillo,ROPA,Polo algodon,2,442.48,884.96,Transferencia
V001630,2025-06-20,Miraflores,Alimentos,Cafe molido 500g,3,312.35,937.05,Transferencia
V000702,2025-04-18,Cusco, Electronica ,Mouse inalambrico,2,210.39,420.78,Transferencia
V000762,2025-06-23,Trujillo,Juguetes,Rompecabezas 1000,4,374.20,1496.80,Plin
V001506,2025-04-12,Arequipa, alimentos,Aceite de oliva,4,336.74,1346.96,Yape
V000557,2025-04-25,Cusco,Ropa,Jean clasico,3,375.60,1126.80,Tarjeta
V000925,2025-06-29,Lima Centro,Ropa,Casaca impermeable,3,444.21,1332.63,Transferencia
V001273,2025-05-13,Miraflores,ALIMENTOS,Miel de abeja,1,290.37,290.37,Plin
V000498,2025-05-11,Cusco,Ropa,Zapatillas urbanas,4,232.01,928.04,Plin
V000869,2025-04-16,Lima Centro,ropa ,Jean clasico,4,381.30,1525.20,Tarjeta
V001007,2025-04-23,Arequipa,ELECTRONICA,Monitor 24,2,92.02,184.04,Yape
V000490,2025-06-01,Lima Centro,Alimentos,Aceite de oliva,2,201.92,403.84,Yape
V000891,2025-04-19,Lima Centro,electronica,Monitor 24,2,231.05,-207.21,Transferencia
V001913,2025-06-17,Cusco, alimentos,Cafe molido 500g,4,290.64,1162.56,Efectivo
V001028,2025-05-29,Cusco,ROPA,Casaca impermeable,1,260.51,260.51,Yape
V001308,2025-04-21,Cusco,Juguetes,Set de bloques,1,437.95,437.95,Tarjeta
V000327,2025-05-08,Cusco,,Organizador,3,345.91,1037.73,Yape
V000999,2025-05-31,Cusco,electronica,Mouse inalambrico,5,195.99,979.95,Transferencia
V000062,2025-05-24,Cusco,Alimentos,Cafe molido 500g,1,79.62,79.62,Efectivo
V001263,2025-04-30,Lima Centro,Ropa,Jean clasico,1,413.21,413.21,Tarjeta
V001024,2025-06-08,Trujillo,juguetes,Set de bloques,3,376.63,1129.89,Tarjeta
V001761,2025-05-05,Arequipa,juguetes,Peluche mediano,1,276.88,276.88,Transferencia
